"name","genres","popularity","related_artists"
"KeBlack","['french hip hop', 'pop urbaine', 'r&b francais']",70,"['Franglish', 'Vacra', 'Guy2Bezbar']"
"Mike Posner","['dance pop', 'pop', 'pop dance', 'pop rap']",71,"['Calvin Harris', 'Francesco Yates', 'Flo Rida']"
"Bon Iver","['chamber pop', 'eau claire indie', 'indie folk', 'melancholia', 'modern rock']",79,"['The Paper Kites', 'Gregory Alan Isakov', 'Phoebe Bridgers']"
"Kasimir","['lo-fi jazzhop']",36,"['Iassu', 'Josa', 'Nofeels']"
"Michael Jackson","['r&b', 'soul']",86,"['Earth, Wind & Fire', 'George Michael', 'Pharrell Williams']"
"Martin Gauffin","['focus']",36,"['They Dream By Day', 'Silver Maple', 'Hushed']"
"Benson Boone","['singer-songwriter pop']",86,"['Myles Smith', 'Mark Ambor', 'Alex Warren']"
"MHD","['french hip hop', 'pop urbaine', 'r&b francais']",65,"['Naza', 'Gradur', 'Franglish']"
"¿Téo?","['latinx alternative']",61,"['Rayana Jay', 'daste.', 'Pale Jay']"
"JeanJass","['belgian hip hop', 'french hip hop']",53,"['Caballero', ""Limsa d'Aulnay"", 'ISHA']"
"Brent Faiyaz","['r&b', 'rap']",85,"['Sonder', 'PARTYNEXTDOOR', 'Paperboy Fabe']"
"Khalid","['pop', 'pop r&b']",85,"['benny blanco', 'Bazzi', 'Swae Lee']"
"Smeeagain","['lo-fi jazzhop']",42,"['FLKS', 'Adrian Planitz', 'SamuW']"
"Le Dé","['french hip hop', 'rap calme', 'rap liegeois']",47,"['Sopico', 'Senamo', '1995']"
"Hans Hu$tle","['lo-fi jazzhop']",43,"['Kid Tarô', 'ONO1', 'flamingo zamperoni']"
"Harmonic Pathways","['calming instrumental', 'high vibe']",54,"['Domy Castellano', 'The Quiet Path', 'Solvekin']"
"Sid Southside","['atl hip hop', 'atl trap']",60,"['Young Nudy', 'Lil Yachty', 'Chief Keef']"
"Estas Tonne","['flamenco guitar']",51,"['Aukai', 'City of the Sun', 'Hang Massive']"
"Pejzaż","['polish electronica']",35,"['John Beltran', 'Sweatson Klank', 'Maayan Nidam']"
"Clem Leek","['compositional ambient', 'focus', 'neo-classical', 'nu age']",49,"['Alex Kozobolis', 'Elskavon', 'Slow Meadow']"
"Smeels","['french hip hop', 'rap calme']",48,"['Squidji', 'mademoiselle lou', 'Roshi']"
"SwuM","['chillhop', 'lo-fi beats']",54,"['Philanthrope', 'Leavv', 'Flitz&Suppe']"
"Jorja Smith","['r&b', 'uk contemporary r&b']",74,"['Masego', 'KAYTRANADA', 'Preditah']"
"sleepsleepsleep","['lo-fi jazzhop']",34,"['pipetiger', 'Mr Muddy', 'enix lee']"
"A2h","['french hip hop', 'rap calme', 'rap conscient']",53,"['Georgio', 'S-Crew', 'Chilla']"
"SamuW","['lo-fi jazzhop']",47,"['Mendeville', 'mädmäx', 'Mindscape']"
"Taïro","['french reggae']",51,"['Yaniss Odua', ""Nèg' Marrons"", 'Nuttea']"
"Diplo","['dance pop', 'edm', 'electro house', 'moombahton', 'pop dance']",79,"['Marshmello', 'Post Malone', 'Loud Luxury']"
"Billie Eilish","['art pop', 'pop']",96,"['Lana Del Rey', 'Lady Gaga', 'Olivia Rodrigo']"
"Aftertheparty","['trap soul']",42,"['Dwn2earth', 'Eli Sostre', 'Khalil']"
"Anna Clendening","['alt z']",51,"['Clara Mae', 'Frawley', 'Katelyn Tarver']"
"Birds Of The West","['lo-fi jazzhop']",43,"['Jason Masoud', 'Mindr', 'Coloured Rocks']"
"Evanescence","['alternative metal']",76,"['Linkin Park', 'Thirty Seconds To Mars', 'Three Days Grace']"
"THEY.","['trap soul']",53,"['anders', 'Amir Obe', 'Marc E. Bassy']"
"BBVB","['color noise', 'white noise']",54,"['Ozonezzz', 'Klangspiel', 'Fortuna']"
"Trap Of Sounds","['color noise', 'white noise']",53,"['Exodar', 'Fortuna', 'Limone M']"
"Audio Receptors","['color noise', 'white noise']",45,"['Audioable Noise', 'Suburban DZ', 'Haruna Fields']"
"Woodly Fields","['study beats']",32,"['Masuyu', 'Flower Chanel.', 'Sella Vie']"
"Nacho","['latin pop', 'pop venezolano', 'reggaeton', 'trap latino', 'urbano latino']",64,"['Joey Montana', 'Chino & Nacho', 'Mau y Ricky']"
"Alpha Wann","['french hip hop', 'pop urbaine']",60,"['Jazzy Bazz', 'Luv Resval', 'Zuukou mayzie']"
"KAYTRANADA","['alternative r&b', 'escape room', 'indie soul', 'lgbtq+ hip hop']",74,"['Channel Tres', 'Teedra Moses', 'Jorja Smith']"
"The Weeknd","['canadian contemporary r&b', 'canadian pop', 'pop']",96,"['Gesaffelstein', 'Doja Cat', 'SZA']"
"Elfrieda","['background piano']",48,"['Ambrosiae', 'Alfons Daiminger', 'Henriette Fleich']"
"Kimmø","['lo-fi jazzhop']",46,"['T.Check', 'Lazlow', 'Mindscape']"
"Pedro Capó","['latin pop', 'puerto rican pop']",69,"['Sebastian Yatra', 'Camilo', 'Mau y Ricky']"
"StyccO","['white noise']",54,"['Panoramia', 'Universal Waves', 'Skiez']"
"Crystal Slowdown","['color noise', 'white noise']",54,"['Valdervande', 'Hypnotronica', 'Limone M']"
"Likko Sol","['color noise', 'white noise']",55,"['Dancing Waves', 'Dozy Sounds', 'The Clear Mind']"
"Bequem","['lo-fi jazzhop']",46,"['Pacific', 'Jeff Kaale', 'HATAMITSUNAMI']"
"val","['banda', 'corrido', 'musica mexicana', 'musica sonorense', 'norteno', 'sierreno']",69,"['Sergio Vega ""El Shaka""', 'Banda El Recodo', 'Fidel Rueda']"
"Warble","['background piano']",32,"['Madelene Olsson', 'Michael Janzen', 'Massimo Pavoni']"
"Primero","['belgian hip hop', 'rap calme']",38,"['nelick', 'Peet', 'Zinée']"
"Ghali","['italian hip hop', 'italian pop', 'milan indie']",71,"['Tony Effe', 'Geolier', 'Tedua']"
"Lartiste","['french hip hop', 'pop urbaine']",63,"[""L'Algérino"", 'Alonzo', 'Naps']"
"Luv Resval","['french hip hop', 'pop urbaine', 'rap francais']",61,"['Luther', 'Alpha Wann', 'Zuukou mayzie']"
"Frank Ocean","['lgbtq+ hip hop', 'neo soul']",88,"['Childish Gambino', 'Steve Lacy', 'Tyler, The Creator']"
"Shakira","['colombian pop', 'dance pop', 'latin pop', 'pop']",88,"['Enrique Iglesias', 'KAROL G', 'Becky G']"
"ENNY","['alternative r&b']",58,"['Pip Millett', 'Rayana Jay', 'Yaya Bey']"
"Tsew The Kid","['rap calme']",56,"['Yuzmv', 'IZAID', 'A2h']"
"Jost Esser","['lo-fi jazzhop']",45,"['gknister', ""Cloudsurfin'"", 'Breakfast For Brunch']"
"Uli Tiro","['lo-fi jazzhop']",34,"['Eu93ne', 'L E F', 'Snowji']"
"Cautious Clay","['indie r&b', 'nyc pop']",56,"['Chiiild', 'ODIE', 'Q']"
"Major Lazer","['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']",77,"['DJ Snake', 'Calvin Harris', 'Clean Bandit']"
"ScHoolboy Q","['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",75,"['Jay Rock', 'A$AP Ferg', 'Big Sean']"
"Still Fresh","['french hip hop', 'pop urbaine', 'r&b francais']",52,"['Hiro', 'Kaza', 'Benash']"
"BAYNK","['indie electropop', 'vapor soul']",58,"['DRAMA', 'Panama', 'Shallou']"
"Miguel","['r&b', 'urban contemporary']",81,"['SZA', 'Bryson Tiller', 'Summer Walker']"
"Dimitri Vegas & Like Mike","['belgian dance', 'belgian edm', 'big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house']",75,"['Dimitri Vegas', 'Like Mike', 'W&W']"
"Jean Schultheis","['chanson', 'classic french pop']",42,"['Thierry Pastor', 'Gérard Blanc', 'Jean-Luc Lahaye']"
"Vacra","['pop urbaine']",68,"['KeBlack', 'Franglish', 'Guy2Bezbar']"
"Camila Cabello","['dance pop', 'pop']",82,"['Selena Gomez', 'Shawn Mendes', 'Ariana Grande']"
"Sfera Ebbasta","['italian hip hop', 'italian pop', 'trap italiana', 'trap latino']",79,"['Capo Plaza', 'Guè', 'Tedua']"
"Favé","['drill francais', 'pop urbaine', 'rap francais']",67,"['Kerchak', 'Zola', 'Gazo']"
"Baby K","['hip hop', 'rap']",78,"['21 Savage', 'Lil Uzi Vert', 'Metro Boomin']"
"Aaron Smith","['chicago house']",66,"['Krono', 'Daniel Levi', 'Cartoon']"
"Sonic","['alternative rock', 'noise pop', 'noise rock', 'rock', 'shoegaze']",59,"['Fugazi', 'The Breeders', 'Dinosaur Jr.']"
"Ruel","['alt z', 'australian alternative pop', 'singer-songwriter pop']",64,"['Jeremy Zucker', 'Chelsea Cutler', 'LANY']"
"Maikel Delacalle","['rap canario', 'trap latino', 'urbano espanol']",63,"['Soge Culebra', 'Came Beats', 'GARABATTO']"
"Drive","['alternative country', 'folk', 'new americana', 'roots rock', 'southern rock']",53,"['James McMurtry', 'Justin Townes Earle', 'Fred Eaglesmith']"
"Mentatranque","['color noise', 'white noise']",57,"['Universal Waves', 'Evomin', 'StyccO']"
"Danæ","['lo-fi sleep']",41,"['Neko Kedi', 'Moai Beats', 'Shayla Sereno']"
"Milli Hughes","['white noise']",71,"['BCCF', 'Erik Eriksson', 'Jane Color']"
"State of Waves","['white noise']",54,"['Sky Travis', 'PARCEL', 'Hovar']"
"Elton Baptiste","['lo-fi sleep']",46,"['Cosmic Nuit', 'Wishard', 'fresh from the moon']"
"Post Malone","['dfw rap', 'melodic rap', 'pop', 'rap']",92,"['Diplo', 'The Kid LAROI', 'Marshmello']"
"Luis Fonsi","['latin pop', 'puerto rican pop']",75,"['Enrique Iglesias', 'CNCO', 'Shakira']"
"Nelly","['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary']",76,"['USHER', 'T-Pain', 'Diddy']"
"Lo-Fi Tigers","['lo-fi sleep']",33,"['Cygnet', 'Mellow dive', 'Ezor Jz']"
"John Lee","['blues', 'blues rock', 'delta blues', 'electric blues', 'memphis blues', 'traditional blues']",57,"['Muddy Waters', 'Sonny Boy Williamson II', ""Howlin' Wolf""]"
"Bigflo & Oli","['french pop', 'rap conscient']",62,"['Orelsan', '47ter', 'Lomepal']"
"Mellowdy","['chill house', 'tropical house']",48,"['Coffee Cub', 'Sole Sole', ""Life's A Beach""]"
"Quinn XCII","['indie pop rap']",66,"['Christian French', 'Bryce Vine', 'Wingtip']"
"Evolysium","['color noise']",45,"['Audioable Noise', 'ULXI', 'Julia Sono']"
"O-Zone","['eurodance', 'europop', 'moldovan pop']",58,"['Eiffel 65', 'Scatman John', 'A Touch Of Class']"
"Lord Esperanza","['french hip hop', 'rap calme']",40,"['Nusky', 'Zed Yun Pavarotti', 'Senamo']"
"PIÑA PINK","['lo-fi sleep']",42,"['fly_by_wire', 'Cheeky Beez', 'Hype Right']"
"X.L.T","['rain', 'white noise']",60,"['Aileron', 'Somnolence', 'Universal Waves']"
"Chris Rea","['soft rock', 'sophisti-pop']",61,"['Tanita Tikaram', 'Bryan Ferry', 'Mike + The Mechanics']"
"Flume","['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm', 'indietronica']",72,"['kai', 'AlunaGeorge', 'ODESZA']"
"Beyoncé","['pop', 'r&b']",87,"['Rihanna', ""Destiny's Child"", 'Nicki Minaj']"
"Rounhaa","['cloud rap francais']",53,"['Selug', 'Yvnnis', 'Khali']"
"Rema","['afrobeats', 'nigerian pop']",79,"['Burna Boy', 'Ayra Starr', 'Omah Lay']"
"Niklas Paschburg","['compositional ambient', 'neo-classical']",49,"['Martin Kohlstedt', 'Robot Koch', 'Andy Barlow']"
"Taio Cruz","['dance pop', 'pop', 'pop rap']",71,"['Flo Rida', 'Pitbull', 'will.i.am']"
"Fed Nance","['lo-fi jazzhop']",43,"['Mendeville', 'Hans Hu$tle', 'Kid Tarô']"
"Nicky Jam","['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",82,"['Zion & Lennox', 'Ozuna', 'Daddy Yankee']"
"France Gall","['chanson', 'ye ye']",59,"['Michel Delpech', 'Véronique Sanson', 'Michel Berger']"
"Big Wild","['vapor soul']",59,"['ODESZA', 'Rationale', 'Louis The Child']"
"Dj Leska","['french hip hop', 'pop urbaine']",53,"['Abou Debeing', 'DJ Babs', 'DJ Anilson']"
"Gea","['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']",78,"['French Montana', 'Wiz Khalifa', 'Rae Sremmurd']"
"Malacca","['chill beats']",31,"['Djourney', 'Thief Traveler', 'Hugo Size']"
"Bazanji","['deep underground hip hop', 'indie pop rap']",55,"['Vin Jay', 'Ollie Joseph', 'Apollo']"
"Ninho","['french hip hop', 'pop urbaine']",80,"['Niska', 'Werenoi', 'Koba LaD']"
"Otis Neon","['lo-fi jazzhop']",40,"['Iassu', 'Loufish', 'Josa']"
"Wieland & Ulrich","['lo-fi jazzhop']",45,"['Jost Esser', 'gknister', 'Hans Hu$tle']"
"A$AP Rocky","['east coast hip hop', 'hip hop', 'rap']",86,"['Kanye West', 'Kendrick Lamar', 'Travis Scott']"
"Ludovico Einaudi","['compositional ambient', 'neo-classical']",80,"['Daniel Hope', 'Fabrizio Paterlini', 'Jóhann Jóhannsson']"
"Saboteur","['ohio hardcore']",6,"['Augment', 'Vendetta', 'Adjudicator']"
"Goson","['lo-fi study']",53,"['Lucid Keys', 'Krynoze', 'Tibeauthetraveler']"
"Alicia Keys","['neo soul', 'pop', 'r&b']",81,"['Mariah Carey', 'John Legend', 'Ne-Yo']"
"Russ","['hawaiian hip hop', 'pop rap']",76,"['6LACK', 'J. Cole', 'Big Sean']"
"Jaden","['pop rap', 'rap']",67,"['Aminé', 'BROCKHAMPTON', 'Rich Brian']"
"Mary J. Blige","['dance pop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']",73,"['Monica', 'Faith Evans', 'Ginuwine']"
"LOKY","['lo-fi jazzhop']",39,"['Just Steezy Things', 'Oddability', 'Bastien Brison']"
"Cheat Codes","['edm', 'pop', 'pop dance']",67,"['Martin Jensen', 'Matoma', 'Zedd']"
"Childish Gambino","['atl hip hop', 'hip hop', 'rap']",81,"['Tyler, The Creator', 'Frank Ocean', 'Kendrick Lamar']"
"Seaspray","['lo-fi jazzhop']",30,"['Captian Waves', 'Mwuah', 'Le Pug']"
"Damso","['belgian hip hop', 'french hip hop', 'pop urbaine', 'r&b francais', 'rap belge', 'rap conscient']",74,"['Josman', 'Dinos', 'Laylow']"
"Sam Cross","['lo-fi jazzhop']",43,"['jüle.', 'Guidolain beats', 'Bertram Kvist']"
"Arma Jackson","['rap calme']",53,"['Mallaury', 'Luidji', 'Josman']"
"EARTHGANG","['atl hip hop', 'indie hip hop', 'psychedelic hip hop', 'rap', 'underground hip hop']",63,"['Spillage Village', 'Saba', 'Bas']"
"Senamo","['belgian hip hop', 'french hip hop', 'rap calme']",38,"['Sopico', 'Fixpen Sill', 'Lord Esperanza']"
"Josa","['ccm']",69,"['Brandon Lake', 'ELEVATION RHYTHM', 'Cory Asbury']"
"Tour-Maubourg","['jazz house']",48,"['Soul Wun', 'Felipe Gordon', 'NRMNT']"
"BLVKSHP","['sleep']",37,"['Fletcher Reed', 'Ensidya', 'arithmetic underflow']"
"Zen Park","['lo-fi jazzhop']",31,"['MAFFYN', 'Valeu Irmao', 'sleepsleepsleep']"
"Mossdeep","['lo-fi sleep']",43,"['Twiggy Fiz', 'Blue Bag', 'Zoe Reed']"
"Miley Cyrus","['pop']",84,"['P!nk', 'Sam Smith', 'Selena Gomez']"
"The BD Noise Maker","['color noise']",51,"['HQ-10', 'BLITZ', 'Ablation']"
"SoN","['pop r&b', 'r&b', 'teen pop']",56,"['Niykee Heaton', 'Sevyn Streeter', 'David Correy']"
"Domitila James","['background piano']",29,"['Milo Liana', 'John Vegard Schow', 'Izzy Flynn']"
"Labrinth","['indie poptimism', 'pop']",78,"['Noah Cyrus', 'The Neighbourhood', 'Doja Cat']"
"Skiez","['white noise']",54,"['Ambi Val', 'Jim Efforts', 'StyccO']"
"YellowStraps","['neo r&b']",48,"['iilliaa', 'Yamê', 'Kabusa Oriental Choir']"
"Rilès","['french hip hop']",59,"['Lomepal', 'Roméo Elvis', 'Orelsan']"
"DLJ","['lo-fi beats', 'lo-fi study']",50,"['less.people', 'Enluv', 'BluntOne']"
"Raimu","['anime lo-fi', 'japanese chillhop']",52,"['Tenno', 'DaniSogen', ""l'Outlander""]"
"Grmmr.126","['lo-fi jazzhop']",41,"['Loufish', 'Josa', 'fly_by_wire']"
"J. Cole","['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",87,"['Drake', 'Lil Wayne', 'Kendrick Lamar']"
"Luni","['g funk', 'oakland hip hop', 'west coast rap']",61,"['Warren G', 'The Game', 'The Notorious B.I.G.']"
"DJ Khaled","['hip hop', 'miami hip hop', 'pop rap', 'rap']",77,"['Tyga', 'Migos', 'Chris Brown']"
"Sage The Gemini","['hyphy', 'pop rap', 'southern hip hop', 'trap']",65,"['Lil Jon', 'Tyga', 'Young Money']"
"Daddy Yankee","['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",88,"['Don Omar', 'Zion & Lennox', 'Nicky Jam']"
"Grems","['rap inde']",33,"['Noza', 'Sameer Ahmad', 'Le Seize']"
"Natura Ferox","['white noise']",61,"['Ardeon', 'X.L.T', 'Somnolence']"
"Tems","['afro r&b', 'afrobeats', 'alte', 'nigerian pop']",78,"['Wizkid', 'Burna Boy', 'Odeal']"
"Mogli","['christian hip hop', 'christian trap']",48,"['Jon Keith', 'Marty', 'Ty Brasel']"
"Cyndi Lauper","['dance pop', 'new wave pop', 'permanent wave', 'soft rock']",73,"['Culture Club', 'Bonnie Tyler', 'The Bangles']"
"Luidji","['cloud rap francais', 'french hip hop']",67,"['Josman', 'Nekfeu', 'Moji x Sboy']"
"Joji","['viral pop']",80,"['Rex Orange County', 'd4vd', 'Cigarettes After Sex']"
"Macklemore","['pop rap', 'seattle hip hop']",78,"['Macklemore & Ryan Lewis', 'Flo Rida', 'Ray Dalton']"
"Two Feet","['indie poptimism', 'modern rock']",71,"['Rosenfeld', 'Hippie Sabotage', 'Labrinth']"
"Ariana Grande","['pop']",92,"['Camila Cabello', 'Madison Beer', 'Troye Sivan']"
"Kiiara","['alt z', 'electropop']",61,"['Emily Warren', 'FRENSHIP', 'Grey']"
"Tamera","['alternative r&b']",40,"['Tay Iwar', 'Tomi Agape', 'Ayüü']"
"Oatmello","['focus beats', 'lo-fi beats']",50,"['DLJ', 'Pointy Features', 'Epektase']"
"Aurora 10","['lo-fi cover', 'lo-fi jazzhop']",42,"['Laflov', 'London Lighthouse', 'soulful beats']"
"Joe Hertz","['indie soul', 'uk contemporary r&b']",44,"['Pomo', 'Noah Slee', 'Hablot Brown']"
