name,genres,popularity,related_artists
Obskür,"['irish electronic', 'rally house']",60,"['LOSTBOYJAY', 'Sosa UK', 'Dennis Quin']"
The Ronettes,"['brill building pop', 'classic girl group', 'motown', 'rock-and-roll']",67,"['Nancy Sinatra', 'The Mamas & The Papas', 'Frankie Valli']"
William DeVaughn,"['classic soul', 'philly soul']",46,"['The Blackbyrds', 'Delegation', 'Gwen McCrae']"
Grimes,"['art pop', 'canadian electropop', 'grave wave', 'indietronica', 'metropopolis', 'neo-synthpop']",69,"['Crystal Castles', 'Com Truise', 'Yeah Yeah Yeahs']"
Midnight Magic,"['balearic', 'nu disco']",41,"['40 Thieves', 'Punkin Machine', 'Parallel Dance Ensemble']"
Campbell,['drum and bass'],60,"['Alcemist', 'Bou', 'Flowdan']"
Chris Lake,"['bass house', 'edm', 'electro house', 'house', 'melbourne bounce', 'pop dance', 'tech house', 'uk dance']",70,"['Dom Dolla', 'FISHER', 'Mau P']"
Cher,"['dance pop', 'pop']",71,"['Tina Turner', 'Irene Cara', 'Eric Carmen']"
GIMS,"['french hip hop', 'pop urbaine', 'r&b francais', 'rap conscient']",80,"['Soolking', 'KeBlack', 'Lossa']"
Carbonne,['french rap'],65,"['THEODORT', 'Dadi', 'Vacra']"
MIKA,['electropop'],66,"['fun.', 'Mark Ronson', 'P!nk']"
Rihanna,"['barbadian pop', 'pop', 'urban contemporary']",92,"['Justin Timberlake', 'Beyoncé', 'Nicki Minaj']"
Iggy Azalea,"['australian hip hop', 'dance pop', 'pop']",70,"['Fergie', 'Nicki Minaj', 'The Pussycat Dolls']"
Taylor Swift,['pop'],100,"['Olivia Rodrigo', 'Troye Sivan', 'Sabrina Carpenter']"
BARON.E,['swiss pop'],26,"['Oete', 'George Ka', 'Edgär']"
Flavien Berger,"['french indie pop', 'french indietronica', 'french synthpop']",48,"['Malik Djoudi', 'Jacques', 'Pépite']"
The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",96,"['Gesaffelstein', 'Doja Cat', 'Swae Lee']"
7 Jaws,"['french hip hop', 'rap calme', 'rap francais']",32,"['BATTLE KiDS', 'Sanmyu-', 'Cortile']"
Jorja Smith,"['r&b', 'uk contemporary r&b']",74,"['Masego', 'KAYTRANADA', 'Preditah']"
New Order,"['alternative rock', 'dance rock', 'madchester', 'new romantic', 'new wave', 'permanent wave', 'post-punk', 'synthpop', 'uk post-punk']",67,"['Depeche Mode', 'The Psychedelic Furs', 'Joy Division']"
Bolivard,['new french touch'],40,"['Bomel', 'AGAV', 'Clea Vincent']"
"Earth, Wind & Fire","['disco', 'funk', 'jazz funk', 'motown', 'soul']",76,"['The Emotions', 'Kool & The Gang', 'The Jackson 5']"
Vengaboys,"['eurodance', 'europop']",64,"['Whigfield', 'Aqua', 'Eiffel 65']"
Tame Impala,"['australian psych', 'modern rock', 'neo-psychedelic', 'rock']",81,"['MGMT', 'Mac DeMarco', 'Gorillaz']"
Lana Del Rey,"['art pop', 'pop']",92,"['Billie Eilish', 'Cigarettes After Sex', 'The Neighbourhood']"
Doja Cat,"['dance pop', 'pop']",87,"['The Weeknd', 'Ariana Grande', 'Nicki Minaj']"
Luiz Bonfá,"['bossa nova', 'brazilian jazz', 'jazz guitar', 'samba-jazz', 'violao']",56,"['João Gilberto', 'João Donato', 'João Gilberto Quintet']"
Julio Secchin,['nova mpb'],57,"['Rebeca', 'Fran', 'Rodrigo Alarcon']"
Jayda G,['canadian electronic'],51,"['Folamour', 'kryptogram', ""Barry Can't Swim""]"
Corine,"['british soul', 'neo soul', 'pop soul', 'soul']",65,"['Sixpence None The Richer', 'Alicia Keys', 'Lily Allen']"
Looking Glass,['sunshine pop'],62,"['King Harvest', 'Elvin Bishop', 'Daryl Hall & John Oates']"
aupinard,"['french indie pop,'french rap']",54,"['LYNN', 'Myra', 'Enchantée Julia']"
Matthew Wilder,['new wave pop'],58,"['Rupert Holmes', 'Lipps Inc.', 'Carl Douglas']"
Supertramp,"['album rock', 'art rock', 'classic rock', 'glam rock', 'mellow gold', 'piano rock', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']",71,"['Dire Straits', 'George Harrison', 'America']"
Olly Alexander (Years & Years),"['dance pop', 'gauze pop', 'pop', 'pop dance', 'uk pop']",70,"['Zara Larsson', 'Calvin Harris', 'Clean Bandit']"
Barbara Boeing,['eletronic'],22,"['DJ CITY', 'Mute', 'Philippa']"
Van Morrison,"['classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']",75,"['Paul Simon', 'Yusuf / Cat Stevens', 'Otis Redding']"
Les Jones,['country'],31,"['AmineMaTue', 'Charles Ludig', 'Jean Dujardin']"
Ellie Goulding,"['indietronica', 'metropopolis', 'pop', 'uk pop']",80,"['Sia', 'Zara Larsson', 'Bebe Rexha']"
Yamê,['french rap'],58,"['aupinard', 'YellowStraps', 'Ryan Koffi']"
Discobitch,['electronic'],44,"['One-T', 'The Shock Band', 'Mondotek']"
Spider ZED,"['french hip hop', 'rap calme']",46,"['2TH', 'James Baker', 'Zed Yun Pavarotti']"
LOSTBOYJAY,['rally house'],57,"['Obskür', 'Borai & Denham Audio', 'ANOTR']"
OBOY,"['french hip hop', 'pop urbaine', 'rap francais']",69,"['PLK', 'Hamza', 'Koba LaD']"
Moussa,['french indietronica'],37,"['Ichon', 'Mr GISCARD', 'HIBA']"
Elia y Elizabeth,['tropical alternativo'],42,"['DjeuhDjoah', 'Lieutenant Nicholson', 'Voilaaa']"
The Mamas & The Papas,"['classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'soft rock', 'sunshine pop']",70,"['Nancy Sinatra', 'The Animals', 'Don McLean']"
Foster The People,"['indietronica', 'modern alternative rock', 'modern rock', 'rock']",75,"['MGMT', 'GROUPLOVE', 'The Killers']"
Carly Rae Jepsen,"['canadian pop', 'dance pop', 'pop']",73,"['Jessie J', 'Katy Perry', 'WALK THE MOON']"
Miel De Montagne,"['french indie pop', 'french indietronica']",52,"['Clea Vincent', 'Pépite', 'Lewis OfMan']"
Dayglow,"['austindie', 'indie rock', 'pov: indie']",66,"['Wallows', ""Her's"", 'COIN']"
Frankie Valli,"['adult standards', 'bubblegum pop', 'lounge']",66,"['Paul Anka', 'The Ronettes', 'Nancy Sinatra']"
Robbie Williams,"['dance rock', 'europop']",71,"['Take That', 'James Blunt', 'Phil Collins']"
Douglas Germano,"['nova mpb', 'samba paulista']",48,"['Los Sebosos Postizos', 'Di Melo', 'Os Originais Do Samba']"
Mr GISCARD,"['french indie pop,'french rap']",39,"['Moussa', 'Mou', 'Ichon']"
Dmitri Shostakovich,"['classical', 'compositional ambient', 'russian modern classical']",61,"['Antonín Dvořák', 'Claudio Abbado', 'Lorin Maazel']"
Claude François,"['chanson', 'french pop', 'ye ye']",53,"['Michel Delpech', 'Michel Sardou', 'Dave']"
Noé Preszow,"['french pop', 'nouvelle chanson francaise']",49,"['Gaëtan Roussel', 'Marie-Flore', 'Foé']"
La Femme,"['french indie pop', 'french indietronica', 'french psychedelic', 'french rock']",62,"['Juniore', 'Rebeka Warrior', 'Pépite']"
AGAV,['french indie pop'],48,"['Matild', 'Miel De Montagne', 'Vanille']"
PLK,"['french hip hop', 'pop urbaine', 'rap conscient']",75,"['Hamza', 'OBOY', 'Ninho']"
Leo Pol,['jazz house'],36,['Fusion Groove Orchestra', 'Bellaire', 'Berlioz']
Lou Reed,"['classic rock', 'glam rock', 'permanent wave', 'rock', 'singer-songwriter']",65,"['Patti Smith', 'Bob Dylan', 'Neil Young']"
Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",88,"['Sam Smith', 'John Legend', 'Miley Cyrus']"
Maxence,['rap calme'],36,"['Olympe Chabert', 'James Baker', 'Thomas Gauthier']"
Vendredi sur Mer,"['french indie pop', 'french indietronica']",58,"['Videoclub', 'Mattyeux', 'Adèle Castillon']"
HIBA,"['french indie pop,'french rap']",24,"['Moussa', 'Ténéré', 'EMILE']"
REGALIA,['electronic'],0,[]
Musical Youth,['uk reggae'],53,"['iNi Kamoze', 'Sister Nancy', 'Big Mountain']"
SALES,['orlando indie'],60,"['Harmless', 'Verzache', 'Mild High Club']"
Lartiste,"['french hip hop', 'pop urbaine']",63,"[""L'Algérino"", 'Alonzo', 'Naps']"
Billy Mack,['pop rock],25,"['Kathryn Jones', 'Dominik Hauser, Katie Campbell', 'Stephen Bell']"
Naeleck,"['electro', 'hypertechno']",71,"['POLTERGST', 'Sonny Wern', 'Timmy Trumpet']"
Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",92,"['Diplo', 'The Kid LAROI', 'Marshmello']"
Mina,"['classic italian pop', 'italian adult pop', 'ye ye']",61,"['Gino Paoli', 'Ornella Vanoni', 'Patty Pravo']"
Senna,['chanson humoristique'],41,"['krage', 'THE SIXTH LIE', 'Tielle']"
Max Boublil,"['chanson humoristique', 'chanson paillarde']",37,"['Mickael Miro', 'Fatal Bazooka', 'Kamini']"
Yanns,['french pop'],54,"['RIDSA', 'Soprano', ""Keen' V""]"
August Moon,"['pop', 'pop rock']",53,"['Nicholas Galitzine', 'Perrie', 'Victoria Justice']"
Wham!,"['new romantic', 'new wave', 'new wave pop', 'soft rock']",71,"['Rick Astley', 'ABBA', 'a-ha']"
futurebae,"['house', 'pop house']",37,"['Tropikel Ltd', 'Schorl3', 'TimmyT']"
Laurent Voulzy,"['chanson', 'french pop']",50,"['Eddy Mitchell', 'Marc Lavoine', 'Alain Souchon']"
Wejdene,['r&b francais'],49,"['Bushibabe', 'Eva', 'T2R']"
Julien Doré,"['chanson', 'french pop']",61,"['Grand Corps Malade', 'Clara Luciani', 'Gaëtan Roussel']"
Anthony Lazaro,['jazz pop'],53,"['corner club', 'Jason LaPierre', 'Matthew Ifield']"
Elton John,"['glam rock', 'mellow gold', 'piano rock', 'rock']",84,"['Billy Joel', 'Bee Gees', 'Kiki Dee']"
Hugh Jackman,"['hollywood', 'show tunes']",69,"['The Greatest Showman Ensemble', 'Keala Settle', 'Zac Efron']"
Dexys Midnight Runners,"['new romantic', 'new wave', 'new wave pop']",62,"['Kiki Dee', 'The Buggles', 'Daryl Hall & John Oates']"
Abbe Lane,"['pop', 'italian pop', 'italian']",24,"['Stephane Huguenin', 'Tony Dallara', 'Cocki Mazzetti']"
Redbone,"['native american contemporary', 'native american traditional']",68,"['Rupert Holmes', 'Blue Swede', 'Björn Skifs']"
Françoise Hardy,"['chanson', 'ye ye']",61,"['Brigitte Bardot', 'Dalida', 'Christophe']"
Dj Weedim,['french hip hop'],38,"['Biffty', 'Alkpote', 'Deadi']"
Feu! Chatterton,"['french indie pop', 'french indietronica', 'french rock', 'nouvelle chanson francaise']",48,"['Voyou', 'Odezenne', 'Bertrand Belin']"
Fichier Important,"['french rap', 'french hip hop']",4,"['BennyTow', 'Boulettes Violettes', 'Terry Wave']"
Julio Iglesias,['latin pop'],71,"['Mocedades', 'Raphael', 'José Luis Perales']"
Queen,"['classic rock', 'glam rock', 'rock']",86,"['The Police', 'Aerosmith', 'a-ha']"
Barry Manilow,"['adult standards', 'mellow gold', 'soft rock', 'yacht rock']",63,"['Carpenters', 'Chicago', 'Sheena Easton']"
Stan Getz,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",67,"['Astrud Gilberto', 'Luiz Bonfá', 'Chet Baker']"
Yseult,"['french pop', 'r&b francais']",75,"['Sevdaliza', 'Pabllo Vittar', 'Lady Gaga']"
Jamiroquai,['dance pop'],69,"['Lenny Kravitz', 'Daft Punk', 'CHIC']"
Isaac Delusion,"['electro-pop francais', 'french indie pop', 'french indietronica', 'french psychedelic']",53,"['Pépite', 'Malik Djoudi', 'Miel De Montagne']"
BB Brunes,"['chanson', 'french garage rock', 'french pop', 'french rock']",52,"['Renan Luce', 'Louise Attaque', 'Téléphone']"
Flight Facilities,"['aussietronica', 'australian dance', 'australian indie', 'indietronica', 'nu disco']",58,"['Flume', 'Miami Horror', 'Chet Faker']"
Salut C'est Cool,['french synthpop'],41,"['Le Wanski', 'Les keke-boys', 'Roland Cristal']"
FIFTY FIFTY,['k-pop girl group'],69,"['NewJeans', 'Jung Kook', 'LE SSERAFIM']"
Josie Man,['uk pop'],31,"['KEHLI', 'Just Wondering', 'HYYTS']"
Gambi,"['atl hip hop', 'hip hop', 'rap']",81,"['Tyler, The Creator', 'Frank Ocean', 'Kendrick Lamar']"
Myra,"['french indie pop,'french rap']",39,"['Hoku', 'Hilary Duff', 'Joanna Pacitti']"
Justice,"['alternative dance', 'dance-punk', 'electronica', 'filter house', 'indietronica', 'new rave']",68,"['Jamie xx', 'Kavinsky', 'Channel Tres']"
Julien Granel,['french indie pop'],38,"['James Baker', 'Louisette & Amaury', 'Louisette']"
ROSALÍA,"['pop', 'r&b en espanol']",82,"['KAROL G', 'Becky G', 'Shakira']"
jean,"['indie hip hop', 'modern indie pop']",59,"['Mk.gee', 'Junior Varsity', 'Powers Pleasant']"
Mochakk,['house'],59,"['Beltran', 'Cloonee', 'Joshwa']"
Boney M.,['europop'],72,"['ABBA', 'Dave Stewart', 'Eurythmics']"
Koba LaD,"['french hip hop', 'pop urbaine', 'rap francais']",69,"['Zola', 'Ninho', 'DA Uzi']"
Hamza,"['belgian hip hop', 'cloud rap francais', 'french hip hop', 'pop urbaine', 'rap belge']",74,"['PLK', 'Ninho', 'Leto']"
Lorenzo,"['banda', 'grupera', 'musica mexicana', 'norteno']",55,"['Ezequiel Peña', 'Los Tiranos Del Norte', 'Los Baron De Apodaca']"
Dua Lipa,"['dance pop', 'pop', 'uk pop']",88,"['Camila Cabello', 'Miley Cyrus', 'Ava Max']"
Aaron Smith,['chicago house'],66,"['Krono', 'Daniel Levi', 'Swae Lee']"
Generation X,"['glam punk', 'punk']",51,"['The Romantics', 'Modern English', 'A Flock Of Seagulls']"
HYBS,['pop'],69,"['wave to earth', 'Luke Chiang', 'keshi']"
Potochkine,['french post-punk'],28,"['Rue Oberkampf', 'SDH (Semiotics Department of Heteronyms)', 'NNHMN']"
Nekfeu,"['french hip hop', 'pop urbaine', 'rap conscient']",71,"['Damso', ""Jok'air"", 'Josman']"
Joe Dassin,"['chanson', 'chanson paillarde']",61,"['Charles Aznavour', 'Christophe', 'Michel Delpech']"
Katy Perry,['pop'],87,"['Kesha', 'Jessie J', 'Demi Lovato']"
The Beach Boys,"['baroque pop', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'singer-songwriter', 'sunshine pop']",73,"['The Monkees', ""The Lovin' Spoonful"", 'Frankie Valli & The Four Seasons']"
Dabeull,['synth funk'],59,"['HolyBrune', 'Jordan Lee', 'Rude Jude']"
David Kushner,"['gen z singer-songwriter', 'singer-songwriter pop']",77,"['Tom Odell', 'Benson Boone', 'Chance Peña']"
Alok,"['electro house', 'pop nacional', 'slap house']",80,"['Tiësto', 'MEDUZA', 'R3HAB']"
Caetano Veloso,"['bossa nova', 'mpb', 'samba de roda', 'tropicalia']",68,"['Gal Costa', 'Maria Bethânia', 'Gilberto Gil']"
Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",95,"['Rauw Alejandro', 'Tainy', 'Feid']"
Kesha,"['dance pop', 'pop']",81,"['Katy Perry', 'Britney Spears', 'will.i.am']"
Daft Punk,"['electro', 'filter house', 'rock']",82,"['Gorillaz', 'MGMT', 'Julian Casablancas']"
Thomas Guerlet,['french indie pop'],28,"['Kids Return', 'P.R2B', 'blond']"
Kiki Gyan,"['afrobeat', 'disco']",34,"['Oby Onyioha', 'Bileo', 'Goody Goody']"
Arma Jackson,['rap calme'],53,"['Mallaury', 'Josman', 'Luidji']"
Bosh,"['french hip hop', 'pop urbaine', 'r&b francais', 'rap francais']",50,"['GLK', 'JSX', 'Hornet La Frappe']"
Band Aid,['musical advocacy'],45,[]
Ryan Paris,"['italo disco', 'new italo disco']",49,"['Baccara', 'Bandolero', 'Righeira']"
Bryson Tiller,"['kentucky hip hop', 'r&b', 'rap']",83,"['PARTYNEXTDOOR', 'Summer Walker', 'Jhené Aiko']"
The Alan Parsons Project,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'progressive rock', 'soft rock', 'symphonic rock']",64,"['Supertramp', 'Genesis', 'Al Stewart']"
