artistName,artistPop,artistGenre,artistRelated
Josman,71,"cloud rap francais, french hip hop, pop urbaine, rap conscient","Laylow, Damso, Dinos"
Kid Tarô,41,lo-fi jazzhop,"Mendeville, Damn Homies, flamingo zamperoni"
OBOY,69,"french hip hop, pop urbaine, rap francais","PLK, Koba LaD, Zola"
ROSALÍA,82,"pop, r&b en espanol","KAROL G, Shakira, Becky G"
Laylow,68,"cloud rap francais, french hip hop, pop urbaine","Josman, Dinos, Damso"
Jack Kays,56,cincinnati rap,"Sueco, honestav, Games We Play"
Breakbot,56,"filter house, funktronica, nu disco","Junior Senior, Daft Punk, Bag Raiders"
Dominic Fike,79,"alternative pop rock, pov: indie","Declan McKenna, Bakar, Wallows"
Kina,66,"sad lo-fi, slowed and reverb","Adriana Proenza, Jaymes Young, Trevor Daniel"
Népal,60,french hip hop,"Jazzy Bazz, Alpha Wann, Moji x Sboy"
Jungle,76,"indie soul, uk contemporary r&b","Channel Tres, NEIL FRANCES, Parcels"
Amy Winehouse,80,"british soul, neo soul","Nina Simone, Lily Allen, Aretha Franklin"
Richie Campbell,57,"hip hop tuga, portuguese pop, reggae tuga","FRANKIEONTHEGUITAR, Julinho Ksd, Bispo"
Alejo,64,"reggaeton, trap latino, urbano latino","Caleb Calloway, The Rudeboyz, Came Beats"
Angèle,69,"belgian pop, french pop, variete francaise","Therapie TAXI, Clara Luciani, Louane"
Marwa Loud,58,"french hip hop, pop urbaine, r&b francais","Vegedream, DJ Kayz, Aya Nakamura"
mgk,79,"ohio hip hop, pop rap","Travis Barker, Sueco, Post Malone"
Hammocks & Lime,42,lo-fi sleep,"Ponzi Skeemz, herbstreit, Vanilla Beach"
Mike Posner,71,"dance pop, pop, pop dance, pop rap","Calvin Harris, Francesco Yates, Flo Rida"
KeBlack,70,"french hip hop, pop urbaine, r&b francais","Franglish, Vacra, Guy2Bezbar"
Aska Mill,52,white noise,"Evomin, Aquagirl, Sky Travis"
Bon Iver,79,"chamber pop, eau claire indie, indie folk, melancholia, modern rock","The Paper Kites, Gregory Alan Isakov, Phoebe Bridgers"
Kasimir,36,lo-fi jazzhop,"Iassu, Josa, Nofeels"
Michael Jackson,86,"r&b, soul","Earth, Wind & Fire, George Michael, Pharrell Williams"
Martin Gauffin,36,focus,"They Dream By Day, Silver Maple, Hushed"
Benson Boone,86,singer-songwriter pop,"Myles Smith, Mark Ambor, Alex Warren"
MHD,65,"french hip hop, pop urbaine, r&b francais","Naza, Gradur, Franglish"
¿Téo?,61,latinx alternative,"Rayana Jay, daste., Pale Jay"
Brent Faiyaz,85,"r&b, rap","Sonder, PARTYNEXTDOOR, Paperboy Fabe"
Smeeagain,42,lo-fi jazzhop,"FLKS, Adrian Planitz, SamuW"
JeanJass,53,"belgian hip hop, french hip hop","Caballero, ""Limsa dAulnay"", ISHA"
Le Dé,47,"french hip hop, rap calme, rap liegeois","Sopico, Senamo, 1995"
Khalid,85,"pop, pop r&b","benny blanco, Bazzi, Swae Lee"
Hans Hu$tle,43,lo-fi jazzhop,"Kid Tarô, ONO1, flamingo zamperoni"
Harmonic Pathways,54,"calming instrumental, high vibe","Domy Castellano, The Quiet Path, Solvekin"
Estas Tonne,51,flamenco guitar,"Aukai, City of the Sun, Hang Massive"
Sid Southside,60,"atl hip hop, atl trap","Young Nudy, Lil Yachty, Chief Keef"
Clem Leek,49,"compositional ambient, focus, neo-classical, nu age","Alex Kozobolis, Elskavon, Slow Meadow"
Smeels,48,"french hip hop, rap calme","Squidji, mademoiselle lou, Roshi"
Pejzaż,35,polish electronica,"John Beltran, Sweatson Klank, Maayan Nidam"
sleepsleepsleep,34,lo-fi jazzhop,"pipetiger, Mr Muddy, enix lee"
SwuM,54,"chillhop, lo-fi beats","Philanthrope, Leavv, Flitz&Suppe"
Jorja Smith,74,"r&b, uk contemporary r&b","Masego, KAYTRANADA, Preditah"
A2h,53,"french hip hop, rap calme, rap conscient","Georgio, S-Crew, Chilla"
SamuW,47,lo-fi jazzhop,"Mendeville, mädmäx, Mindscape"
Taïro,51,french reggae,"Yaniss Odua, ""Nèg Marrons"", Nuttea"
Billie Eilish,96,"art pop, pop","Lana Del Rey, Lady Gaga, Olivia Rodrigo"
Diplo,79,"dance pop, edm, electro house, moombahton, pop dance","Marshmello, Post Malone, Loud Luxury"
aupinard,54,"french indie pop,french rap","LYNN, Myra, Enchantée Julia"
Aftertheparty,42,trap soul,"Dwn2earth, Eli Sostre, Khalil"
Anna Clendening,51,alt z,"Clara Mae, Frawley, Katelyn Tarver"
Evanescence,76,alternative metal,"Linkin Park, Thirty Seconds To Mars, Three Days Grace"
THEY.,53,trap soul,"anders, Amir Obe, Marc E. Bassy"
Birds Of The West,43,lo-fi jazzhop,"Jason Masoud, Mindr, Coloured Rocks"
BBVB,54,"color noise, white noise","Ozonezzz, Klangspiel, Fortuna"
Trap Of Sounds,53,"color noise, white noise","Exodar, Fortuna, Limone M"
Woodly Fields,32,study beats,"Masuyu, Flower Chanel., Sella Vie"
Audio Receptors,45,"color noise, white noise","Audioable Noise, Suburban DZ, Haruna Fields"
Nacho,64,"latin pop, pop venezolano, reggaeton, trap latino, urbano latino","Joey Montana, Chino & Nacho, Mau y Ricky"
Yamê,58,french rap,"aupinard, YellowStraps, Ryan Koffi"
Alpha Wann,60,"french hip hop, pop urbaine","Jazzy Bazz, Luv Resval, Zuukou mayzie"
KAYTRANADA,74,"alternative r&b, escape room, indie soul, lgbtq+ hip hop","Channel Tres, Teedra Moses, Jorja Smith"
The Weeknd,96,"canadian contemporary r&b, canadian pop, pop","Gesaffelstein, Doja Cat, SZA"
Pedro Capó,69,"latin pop, puerto rican pop","Sebastian Yatra, Camilo, Mau y Ricky"
Elfrieda,48,background piano,"Ambrosiae, Alfons Daiminger, Henriette Fleich"
StyccO,54,white noise,"Panoramia, Universal Waves, Skiez"
Kimmø,46,lo-fi jazzhop,"T.Check, Lazlow, Mindscape"
Crystal Slowdown,54,"color noise, white noise","Valdervande, Hypnotronica, Limone M"
Likko Sol,55,"color noise, white noise","Dancing Waves, Dozy Sounds, The Clear Mind"
Warble,32,background piano,"Madelene Olsson, Michael Janzen, Massimo Pavoni"
Bequem,46,lo-fi jazzhop,"Pacific, Jeff Kaale, HATAMITSUNAMI"
val,69,"banda, corrido, musica mexicana, musica sonorense, norteno, sierreno","Sergio Vega ""El Shaka"", Banda El Recodo, Fidel Rueda"
Ghali,71,"italian hip hop, italian pop, milan indie","Tony Effe, Geolier, Tedua"
Primero,38,"belgian hip hop, rap calme","nelick, Peet, Zinée"
Mr GISCARD,39,"french indie pop,french rap","Moussa, Mou, Ichon"
Lartiste,63,"french hip hop, pop urbaine","""LAlgérino"", Alonzo, Naps"
Frank Ocean,88,"lgbtq+ hip hop, neo soul","Childish Gambino, Steve Lacy, Tyler, The Creator"
Luv Resval,61,"french hip hop, pop urbaine, rap francais","Luther, Alpha Wann, Zuukou mayzie"
ENNY,58,alternative r&b,"Pip Millett, Rayana Jay, Yaya Bey"
Shakira,88,"colombian pop, dance pop, latin pop, pop","Enrique Iglesias, KAROL G, Becky G"
Tsew The Kid,56,rap calme,"Yuzmv, IZAID, A2h"
Major Lazer,77,"dance pop, edm, electro house, moombahton, pop, pop dance","DJ Snake, Calvin Harris, Clean Bandit"
Cautious Clay,56,"indie r&b, nyc pop","Chiiild, ODIE, Q"
Jost Esser,45,lo-fi jazzhop,"gknister, ""Cloudsurfin"", Breakfast For Brunch"
Uli Tiro,34,lo-fi jazzhop,"Eu93ne, L E F, Snowji"
BAYNK,58,"indie electropop, vapor soul","DRAMA, Panama, Shallou"
Still Fresh,52,"french hip hop, pop urbaine, r&b francais","Hiro, Kaza, Benash"
Miguel,81,"r&b, urban contemporary","SZA, Bryson Tiller, Summer Walker"
ScHoolboy Q,75,"gangster rap, hip hop, pop rap, rap, southern hip hop, trap","Jay Rock, A$AP Ferg, Big Sean"
Vacra,68,pop urbaine,"KeBlack, Franglish, Guy2Bezbar"
Dimitri Vegas & Like Mike,75,"belgian dance, belgian edm, big room, dutch house, edm, electro house, pop dance, progressive electro house","Dimitri Vegas, Like Mike, W&W"
Jean Schultheis,42,"chanson, classic french pop","Thierry Pastor, Gérard Blanc, Jean-Luc Lahaye"
LYNN,45,"french indie pop,french rap","Myra, aupinard, Béesau"
Camila Cabello,82,"dance pop, pop","Selena Gomez, Shawn Mendes, Ariana Grande"
Sfera Ebbasta,79,"italian hip hop, italian pop, trap italiana, trap latino","Capo Plaza, Guè, Tedua"
Myra,39,"french indie pop,french rap","Hoku, Hilary Duff, Joanna Pacitti"
Favé,67,"drill francais, pop urbaine, rap francais","Kerchak, Zola, Gazo"
Aaron Smith,66,chicago house,"Krono, Daniel Levi, Cartoon"
Baby K,78,"hip hop, rap","21 Savage, Lil Uzi Vert, Metro Boomin"
Sonic,59,"alternative rock, noise pop, noise rock, rock, shoegaze","Fugazi, The Breeders, Dinosaur Jr."
Ruel,64,"alt z, australian alternative pop, singer-songwriter pop","Jeremy Zucker, Chelsea Cutler, LANY"
Maikel Delacalle,63,"rap canario, trap latino, urbano espanol","Soge Culebra, Came Beats, GARABATTO"
Mentatranque,57,"color noise, white noise","Universal Waves, Evomin, StyccO"
Drive,53,"alternative country, folk, new americana, roots rock, southern rock","James McMurtry, Justin Townes Earle, Fred Eaglesmith"
Milli Hughes,71,white noise,"BCCF, Erik Eriksson, Jane Color"
Danæ,41,lo-fi sleep,"Neko Kedi, Moai Beats, Shayla Sereno"
Elton Baptiste,46,lo-fi sleep,"Cosmic Nuit, Wishard, fresh from the moon"
State of Waves,54,white noise,"Sky Travis, PARCEL, Hovar"
Post Malone,92,"dfw rap, melodic rap, pop, rap","Diplo, The Kid LAROI, Marshmello"
Nelly,76,"dance pop, gangster rap, hip hop, pop rap, rap, st louis rap, urban contemporary","USHER, T-Pain, Diddy"
Luis Fonsi,75,"latin pop, puerto rican pop","Enrique Iglesias, CNCO, Shakira"
Lo-Fi Tigers,33,lo-fi sleep,"Cygnet, Mellow dive, Ezor Jz"
Bigflo & Oli,62,"french pop, rap conscient","Orelsan, 47ter, Lomepal"
John Lee,57,"blues, blues rock, delta blues, electric blues, memphis blues, traditional blues","Muddy Waters, Sonny Boy Williamson II, ""Howlin Wolf"""
Mellowdy,48,"chill house, tropical house","Coffee Cub, Sole Sole, ""Lifes A Beach"""
Quinn XCII,66,indie pop rap,"Christian French, Bryce Vine, Wingtip"
O-Zone,58,"eurodance, europop, moldovan pop","Eiffel 65, Scatman John, A Touch Of Class"
Lord Esperanza,40,"french hip hop, rap calme","Nusky, Zed Yun Pavarotti, Senamo"
Evolysium,45,color noise,"Audioable Noise, ULXI, Julia Sono"
PIÑA PINK,42,lo-fi sleep,"fly_by_wire, Cheeky Beez, Hype Right"
Flume,72,"australian dance, australian electropop, australian indie, downtempo, edm, indietronica","kai, AlunaGeorge, ODESZA"
X.L.T,60,"rain, white noise","Aileron, Somnolence, Universal Waves"
Chris Rea,61,"soft rock, sophisti-pop","Tanita Tikaram, Bryan Ferry, Mike + The Mechanics"
Beyoncé,87,"pop, r&b","Rihanna, ""Destinys Child"", Nicki Minaj"
Rounhaa,53,cloud rap francais,"Selug, Yvnnis, Khali"
Taio Cruz,71,"dance pop, pop, pop rap","Flo Rida, Pitbull, will.i.am"
Rema,79,"afrobeats, nigerian pop","Burna Boy, Ayra Starr, Omah Lay"
Niklas Paschburg,49,"compositional ambient, neo-classical","Martin Kohlstedt, Robot Koch, Andy Barlow"
Fed Nance,43,lo-fi jazzhop,"Mendeville, Hans Hu$tle, Kid Tarô"
France Gall,59,"chanson, ye ye","Michel Delpech, Véronique Sanson, Michel Berger"
Nicky Jam,82,"latin hip hop, reggaeton, trap latino, urbano latino","Zion & Lennox, Ozuna, Daddy Yankee"
Big Wild,59,vapor soul,"ODESZA, Rationale, Louis The Child"
Dj Leska,53,"french hip hop, pop urbaine","Abou Debeing, DJ Babs, DJ Anilson"
Gea,78,"indie pop rap, oakland hip hop, pop rap, rap","French Montana, Wiz Khalifa, Rae Sremmurd"
Malacca,31,chill beats,"Djourney, Thief Traveler, Hugo Size"
Bazanji,55,"deep underground hip hop, indie pop rap","Vin Jay, Ollie Joseph, Apollo"
Otis Neon,40,lo-fi jazzhop,"Iassu, Loufish, Josa"
Wieland & Ulrich,45,lo-fi jazzhop,"Jost Esser, gknister, Hans Hu$tle"
A$AP Rocky,86,"east coast hip hop, hip hop, rap","Kanye West, Kendrick Lamar, Travis Scott"
Ninho,80,"french hip hop, pop urbaine","Niska, Werenoi, Koba LaD"
Ludovico Einaudi,80,"compositional ambient, neo-classical","Daniel Hope, Fabrizio Paterlini, Jóhann Jóhannsson"
Ladji Mouflet,50,french bossa nova,"RUBII, dialE, berlioz"
Saboteur,6,ohio hardcore,"Augment, Vendetta, Adjudicator"
Goson,53,lo-fi study,"Lucid Keys, Krynoze, Tibeauthetraveler"
Alicia Keys,81,"neo soul, pop, r&b","Mariah Carey, John Legend, Ne-Yo"
Russ,76,"hawaiian hip hop, pop rap","6LACK, J. Cole, Big Sean"
Jaden,67,"pop rap, rap","Aminé, BROCKHAMPTON, Rich Brian"
LOKY,39,lo-fi jazzhop,"Just Steezy Things, Oddability, Bastien Brison"
Mary J. Blige,73,"dance pop, hip pop, neo soul, r&b, urban contemporary","Monica, Faith Evans, Ginuwine"
LaBlue,33,fench indie pop,"Astrønne, Sunni Colón, Lossapardo"
Seaspray,30,lo-fi jazzhop,"Captian Waves, Mwuah, Le Pug"
Childish Gambino,81,"atl hip hop, hip hop, rap","Tyler, The Creator, Frank Ocean, Kendrick Lamar"
Cheat Codes,67,"edm, pop, pop dance","Martin Jensen, Matoma, Zedd"
Damso,74,"belgian hip hop, french hip hop, pop urbaine, r&b francais, rap belge, rap conscient","Josman, Dinos, Laylow"
Sam Cross,43,lo-fi jazzhop,"jüle., Guidolain beats, Bertram Kvist"
Josa,69,ccm,"Brandon Lake, ELEVATION RHYTHM, Cory Asbury"
Senamo,38,"belgian hip hop, french hip hop, rap calme","Sopico, Fixpen Sill, Lord Esperanza"
Arma Jackson,53,rap calme,"Mallaury, Luidji, Josman"
EARTHGANG,63,"atl hip hop, indie hip hop, psychedelic hip hop, rap, underground hip hop","Spillage Village, Saba, Bas"
BLVKSHP,37,sleep,"Fletcher Reed, Ensidya, arithmetic underflow"
Zen Park,31,lo-fi jazzhop,"MAFFYN, Valeu Irmao, sleepsleepsleep"
Tour-Maubourg,48,jazz house,"Soul Wun, Felipe Gordon, NRMNT"
Mossdeep,43,lo-fi sleep,"Twiggy Fiz, Blue Bag, Zoe Reed"
Miley Cyrus,84,pop,"P!nk, Sam Smith, Selena Gomez"
The BD Noise Maker,51,color noise,"HQ-10, BLITZ, Ablation"
SoN,56,"pop r&b, r&b, teen pop","Niykee Heaton, Sevyn Streeter, David Correy"
Labrinth,78,"indie poptimism, pop","Noah Cyrus, The Neighbourhood, Doja Cat"
Domitila James,29,background piano,"Milo Liana, John Vegard Schow, Izzy Flynn"
Skiez,54,white noise,"Ambi Val, Jim Efforts, StyccO"
YellowStraps,48,neo r&b,"iilliaa, Yamê, Kabusa Oriental Choir"
Rilès,59,french hip hop,"Lomepal, Roméo Elvis, Orelsan"
Raimu,52,"anime lo-fi, japanese chillhop","Tenno, DaniSogen, ""lOutlander"""
DLJ,50,"lo-fi beats, lo-fi study","less.people, Enluv, BluntOne"
Luni,61,"g funk, oakland hip hop, west coast rap","Warren G, The Game, The Notorious B.I.G."
Grmmr.126,41,lo-fi jazzhop,"Loufish, Josa, fly_by_wire"
J. Cole,87,"conscious hip hop, hip hop, north carolina hip hop, rap","Drake, Lil Wayne, Kendrick Lamar"
DJ Khaled,77,"hip hop, miami hip hop, pop rap, rap","Tyga, Migos, Chris Brown"
Daddy Yankee,88,"latin hip hop, reggaeton, trap latino, urbano latino","Don Omar, Zion & Lennox, Nicky Jam"
Sage The Gemini,65,"hyphy, pop rap, southern hip hop, trap","Lil Jon, Tyga, Young Money"
Tems,78,"afro r&b, afrobeats, alte, nigerian pop","Wizkid, Burna Boy, Odeal"
Grems,33,rap inde,"Noza, Sameer Ahmad, Le Seize"
Natura Ferox,61,white noise,"Ardeon, X.L.T, Somnolence"
Cyndi Lauper,73,"dance pop, new wave pop, permanent wave, soft rock","Culture Club, Bonnie Tyler, The Bangles"
Luidji,67,"cloud rap francais, french hip hop","Josman, Nekfeu, Moji x Sboy"
Mogli,48,"christian hip hop, christian trap","Jon Keith, Marty, Ty Brasel"
Macklemore,78,"pop rap, seattle hip hop","Macklemore & Ryan Lewis, Flo Rida, Ray Dalton"
Joji,80,viral pop,"Rex Orange County, d4vd, Cigarettes After Sex"
Ariana Grande,92,pop,"Camila Cabello, Madison Beer, Troye Sivan"
Two Feet,71,"indie poptimism, modern rock","Rosenfeld, Hippie Sabotage, Labrinth"
Kiiara,61,"alt z, electropop","Emily Warren, FRENSHIP, Grey"
Tamera,40,alternative r&b,"Tay Iwar, Tomi Agape, Ayüü"
Oatmello,50,"focus beats, lo-fi beats","DLJ, Pointy Features, Epektase"
Still Woozy,69,"bedroom pop, oakland indie, pov: indie","Gus Dapperton, Dominic Fike, Kid Bloom"
Joe Hertz,44,"indie soul, uk contemporary r&b","Pomo, Noah Slee, Hablot Brown"
Aurora 10,42,"lo-fi cover, lo-fi jazzhop","Laflov, London Lighthouse, soulful beats"
Juls,55,"afrobeats, afroswing, uk dancehall","Tay Iwar, Projexx, Show Dem Camp"
Big Sean,79,"detroit hip hop, hip hop, pop rap, r&b, rap, southern hip hop, trap","Lil Wayne, J. Cole, 2 Chainz"
Squeezie,47,chanson virale,"JOYCA, Mastu, 47ter"
Youssef Swatt's,52,rap inde,"JYEUHAIR, Danyl, ""Folies"""
Drxnk,52,"lo-fi jazzhop, lo-fi study","flowless, Mozzie, giannis wang"
Kaza,44,"musica hondurena, pop catracho, punta rock","MC Productions, Los Silver Star, ""Los Rolands"""
Beachwax,44,tropical house,"Paon Bleu, Cratouille, Cogitation"
Pixie Dust,31,lo-fi jazzhop,"Teo, Lamar Azul, Leave"
Lonely in the Rain,61,new french touch,"Luca, Lost In Pacific, bailey"
Ólafur Arnalds,64,"compositional ambient, icelandic classical, neoclassical darkwave","Nils Frahm, Federico Albanese, ""Dustin OHalloran"""
Cratouille,41,"beach house, chill beats","Cogitation, RaFa Sessions, Nyhuis"
Giveon,78,r&b,"Summer Walker, H.E.R., Miguel"
Glass Animals,78,"gauze pop, indietronica, modern rock, pov: indie, shiver pop","BØRNS, Fitz and The Tantrums, Hozier"
Alessia Cara,74,"canadian contemporary r&b, canadian pop, pop","Shawn Mendes, Julia Michaels, Selena Gomez"
Dinos,52,"alternative rock, lo-fi, noise pop, noise rock, permanent wave, power pop, shoegaze, slacker rock","Sebadoh, Archers Of Loaf, Sonic Youth"
GoldLink,66,alternative r&b,"Aminé, A$AP Ferg, J. Cole"
GIMS,80,"french hip hop, pop urbaine, r&b francais, rap conscient","Soolking, KeBlack, Lossa"
Outkast,77,"atl hip hop, dirty south rap, hip hop, old school atlanta hip hop, rap, southern hip hop","The Notorious B.I.G., JAY-Z, Snoop Dogg"
Omah Lay,76,afrobeats,"Victony, Sarz, Tempoe"
Mozzie,52,lo-fi jazzhop,"Hoffy Beats, ron quixote, May-Flowa"
Nickelback,80,"alternative metal, canadian rock, post-grunge","3 Doors Down, Papa Roach, Shinedown"
Madonna,81,"dance pop, pop","Annie Lennox, Ace of Base, Cher"
Zmeyev,57,chillhop,"Screen Jazzmaster, Phlocalyst, Mr. Käfer"
Klangspiel,58,"color noise, white noise","Ozonezzz, Dozy Sounds, The Clear Mind"
ALEX DAV,48,handpan,"Alexander Mercks, Kumea Sound, Laurent Ferlet"
Zuukou mayzie,51,"cloud rap francais, drill francais, french hip hop, rap francais","Jazzy Bazz, Alpha Wann, Luv Resval"
Flo Rida,81,"dance pop, miami hip hop, pop, pop rap","Pitbull, Taio Cruz, AFROJACK"
XXXTENTACION,89,"emo rap, miami hip hop, rap","Juice WRLD, Trippie Redd, Lil Peep"
Hz Catchers,52,white noise,"Skiez, Hovar, Evomin"
Backstreet Boys,78,"boy band, dance pop, pop","P!nk, Spice Girls, Savage Garden"
The Jackson 5,67,"motown, soul","Tammi Terrell, Marvin Gaye, Stevie Wonder"
Bazzi,71,pop,"Khalid, Social House, benny blanco"
Jason Mraz,73,"acoustic pop, dance pop, neo mellow, pop","Colbie Caillat, John Legend, Nate Ruess"
The Pointer Sisters,65,"disco, girl group, hi-nrg, motown, new wave pop, soft rock","Irene Cara, Tina Turner, Miami Sound Machine"
blackbear,75,"alt z, pop","Halsey, iann dior, benny blanco"
Dua Lipa,88,"dance pop, pop, uk pop","Camila Cabello, Miley Cyrus, Ava Max"
Axian,40,"chillhop, lo-fi beats","Psalm Trees, Tesk, invention_"
Lala &ce,48,french hip hop,"Myth Syzer, Krisy, Tuerie"
Gina Ordonieva,40,background piano,"Ima Rayner, Monir Bresegeut, Phileas Galle"
EXOA,56,"color noise, white noise","The Clear Mind, Valdervande, Crystal Slowdown"
ascendant vierge,47,electro-pop francais,"Le Wanski, Evil Grimace, Contrefaçon"
Swing,48,"new wave pop, sophisti-pop","Basia, Lisa Stansfield, Brenda Russell"
Olamide,69,"afrobeats, afropop, azonto, nigerian hip hop, nigerian pop","Bnxn, Kizz Daniel, Young Jonn"
Lazlow,51,lo-fi jazzhop,"T.Check, Kimmø, flâneur"
Passeggiate Al Chiaro,46,white noise,"Aum Balti, Snore Patrol, Isamu"
Freeze corleone,66,"drill francais, french hip hop, melodic drill, pop urbaine","Ziak, Zola, Kerchak"
Bob Marley & The Wailers,82,"reggae, roots reggae","The Wailers, Damian Marley, UB40"
Wande Coal,62,"afrobeats, afropop, nigerian hip hop, nigerian pop","Adekunle Gold, Davido, Ruger"
Weezer,76,"alternative rock, modern power pop, modern rock, permanent wave, rock","The Smashing Pumpkins, Nirvana, Green Day"
Michael Bublé,76,"adult standards, canadian pop, jazz pop, lounge","Jason Mraz, Natalie Cole, Nat King Cole"
Mr. Belt & Wezol,67,"dutch edm, house","Sante Sansone, Sofiya Nzau, HUGEL"
