listener,trackID,msPlayed
Ambre,T229,928486
Ambre,T230,184203
Ambre,T231,205520
Ambre,T232,248146
Fanny,T233,447390
Fanny,T234,571778
Ambre,T235,454972
Ambre,T236,565368
Ambre,T237,1159739
Ambre,T238,206368
Olivier,T239,406492
Olivier,T240,217515
Olivier,T241,1327412
Olivier,T242,3437585
Olivier,T243,211716
Olivier,T244,2299112
Ambre,T245,647692
Ambre,T436,647692
Ambre,T246,333337
Ambre,T247,696889
Ambre,T248,1635309
Ambre,T249,967843
Ambre,T250,1861211
Ambre,T251,639180
Ambre,T252,2305794
Ambre,T253,1105848
Ambre,T254,267899
Ambre,T255,225244
Ambre,T256,1140505
Ambre,T257,381333
Ambre,T258,380168
Ambre,T259,1040025
Ambre,T260,696844
Ambre,T261,394260
Ambre,T262,2291389
Ambre,T263,268304
Ambre,T264,409970
Ambre,T1340,409970
Ambre,T265,625665
Ambre,T266,1418350
Ambre,T267,2022386
Fanny,T251,872955
Fanny,T259,1324364
Ambre,T268,379501
Ambre,T269,203613
Ambre,T270,204079
Ambre,T6101,204079
Ambre,T271,214672
Arnaud,T272,3404711
Arnaud,T273,1576746
Elwin,T272,199906
Elwin,T274,247426
Olivier,T275,416633
Olivier,T276,381120
Olivier,T277,253493
Olivier,T278,445159
Olivier,T279,11116925
Olivier,T280,224515
Olivier,T281,330240
Ambre,T282,254720
Ambre,T283,227169
Arnaud,T284,232146
Fanny,T285,316126
Ambre,T286,730150
Ambre,T287,424320
Ambre,T288,1273306
Ambre,T289,625465
Fanny,T289,1715708
Fanny,T290,229573
Fanny,T291,964324
Ambre,T292,231593
Ambre,T293,390294
Ambre,T294,220954
Ambre,T295,258124
Ambre,T296,262186
Ambre,T297,192506
Ambre,T298,200476
Fanny,T297,192975
Ambre,T299,184852
Arnaud,T299,258441
Ambre,T300,241106
Elwin,T300,1206084
Elwin,T301,668093
Fanny,T300,218453
Ambre,T302,294425
Ambre,T303,337975
Ambre,T304,252267
Ambre,T305,214353
Ambre,T306,288791
Ambre,T307,228965
Ambre,T308,258571
Ambre,T309,215626
Ambre,T310,358122
